COMMAND LINE: [-XX:+UseConcMarkSweepGC, -Xmx8G]
Conf: {}

           Test Name	  Num	     Iterations	          Time ns	       Throughput	  GC	GC ms	  USR ms	  SYS ms	JIT ms
         BATCH_WC_01	    1	      1,000,000	      863,028,000	        1,158,711	   9	    5	   1,012	      38	   163
         BATCH_WC_02	    1	      1,000,000	      404,010,000	        2,475,186	   9	    6	     836	       6	    19
         BATCH_WC_04	    1	      1,000,000	      252,487,000	        3,960,600	   9	    5	     980	       8	     0
         BATCH_WC_08	    1	      1,000,000	      221,127,000	        4,522,288	   9	    5	   1,467	       9	     0
         BATCH_WC_16	    1	      1,000,000	      212,561,000	        4,704,532	   9	    5	   1,495	      12	     1
     GEN_SENTENCES_1	    1	      1,000,000	       20,983,000	       47,657,628	   0	    0	      31	       0	    57
              NOOP_1	    1	      1,000,000	        5,417,000	      184,604,024	   0	    0	       7	       0	     2
       PSUDO_Q_RR_01	    1	      1,000,000	      108,979,000	        9,176,080	   0	    0	     404	       4	    83
       PSUDO_Q_RR_02	    1	      1,000,000	       57,036,000	       17,532,786	   0	    0	      71	       1	     9
       PSUDO_Q_RR_04	    1	      1,000,000	       57,546,000	       17,377,402	   0	    0	     183	       3	     0
       PSUDO_Q_RR_08	    1	      1,000,000	       60,014,000	       16,662,779	   0	    0	      87	       2	     0
       PSUDO_Q_RR_16	    1	      1,000,000	       99,263,000	       10,074,247	   0	    0	     135	       2	     1
           Q_PIPE_01	    1	      1,000,000	      291,454,000	        3,431,073	   0	    0	   1,202	      76	 2,931
           Q_PIPE_02	    1	      1,000,000	      271,693,000	        3,680,625	   0	    0	     446	     189	 4,865
           Q_PIPE_04	    1	      1,000,000	      219,374,000	        4,558,425	   0	    0	   1,018	     103	    72
           Q_PIPE_08	    1	      1,000,000	      275,520,000	        3,629,501	   0	    0	   1,032	     447	     0
           Q_PIPE_16	    1	      1,000,000	      456,299,000	        2,191,545	   0	    0	   2,432	     915	     0
      Q_RR_B_0001_01	    1	      1,000,000	      288,099,000	        3,471,029	   0	    0	     372	     142	 4,915
      Q_RR_B_0001_02	    1	      1,000,000	      390,839,000	        2,558,598	   0	    0	   1,135	     436	    10
      Q_RR_B_0001_04	    1	      1,000,000	    1,582,199,000	          632,032	   0	    0	   1,391	   3,361	     0
      Q_RR_B_0001_08	    1	      1,000,000	    1,069,237,000	          935,246	   0	    0	   3,255	   2,505	 2,264
      Q_RR_B_0001_16	    1	      1,000,000	    2,311,795,000	          432,564	   0	    8	   3,397	   6,288	 4,166
      Q_RR_B_0010_01	    1	      1,000,000	      355,721,000	        2,811,192	   0	    0	     596	      76	 4,828
      Q_RR_B_0010_02	    1	      1,000,000	      284,163,000	        3,519,107	   0	    0	     836	     329	     0
      Q_RR_B_0010_04	    1	      1,000,000	      275,219,000	        3,633,470	   0	    0	     290	     507	     0
      Q_RR_B_0010_08	    1	      1,000,000	      343,760,000	        2,909,006	   0	    0	   1,069	     678	 2,289
      Q_RR_B_0010_16	    1	      1,000,000	      282,038,000	        3,545,622	   0	    0	     301	     535	     0
      Q_RR_B_0100_01	    1	      1,000,000	      318,918,000	        3,135,602	   0	    1	   1,144	      78	 2,342
      Q_RR_B_0100_02	    1	      1,000,000	      203,965,000	        4,902,802	   0	    0	     275	     108	 4,880
      Q_RR_B_0100_04	    1	      1,000,000	      172,149,000	        5,808,921	   0	    1	     596	      76	 2,299
      Q_RR_B_0100_08	    1	      1,000,000	      192,496,000	        5,194,913	   0	    0	     264	     101	     0
      Q_RR_B_0100_16	    1	      1,000,000	      264,073,000	        3,786,832	   0	    0	     772	     139	 2,296
      Q_RR_B_1000_01	    1	      1,000,000	      292,213,000	        3,422,161	   0	    0	     451	      88	 4,877
      Q_RR_B_1000_02	    1	      1,000,000	      268,637,000	        3,722,495	   0	    0	     892	     113	     0
      Q_RR_B_1000_04	    1	      1,000,000	      321,235,000	        3,112,986	   0	    0	     505	      90	     0
      Q_RR_B_1000_08	    1	      1,000,000	      309,694,000	        3,228,994	   0	    0	   1,091	      97	 2,216
      Q_RR_B_1000_16	    1	      1,000,000	      317,490,000	        3,149,706	   0	    0	     487	      99	 4,916
    Q_RR_X_B_0001_01	    1	      1,000,000	      362,871,000	        2,755,800	   0	    0	   1,296	      90	 2,249
    Q_RR_X_B_0001_02	    1	      1,000,000	      225,249,000	        4,439,531	   0	    0	     379	     325	 4,960
    Q_RR_X_B_0001_04	    1	      1,000,000	      173,472,000	        5,764,619	   0	    0	     633	     289	     0
    Q_RR_X_B_0001_08	    1	      1,000,000	      249,776,000	        4,003,587	   0	    0	     731	   1,117	 5,039
    Q_RR_X_B_0001_16	    1	      1,000,000	      172,640,000	        5,792,400	   0	    0	     729	     481	     2
    Q_RR_X_B_0010_01	    1	      1,000,000	      346,429,000	        2,886,594	   0	    0	     514	     112	 4,917
    Q_RR_X_B_0010_02	    1	      1,000,000	      177,749,000	        5,625,911	   0	    1	     578	     257	     0
    Q_RR_X_B_0010_04	    1	      1,000,000	      349,421,000	        2,861,877	   0	    0	     582	     593	     1
    Q_RR_X_B_0010_08	    1	      1,000,000	      171,269,000	        5,838,768	   0	    0	     669	     259	     1
    Q_RR_X_B_0010_16	    1	      1,000,000	       79,745,000	       12,539,971	   0	    0	     239	     240	     0
    Q_RR_X_B_0100_01	    1	      1,000,000	      299,588,000	        3,337,917	   0	    0	   1,082	      57	 2,261
    Q_RR_X_B_0100_02	    1	      1,000,000	      130,614,000	        7,656,147	   0	    0	     191	     151	 9,568
    Q_RR_X_B_0100_04	    1	      1,000,000	      311,002,000	        3,215,413	   0	    0	   1,136	     334	 2,250
    Q_RR_X_B_0100_08	    1	      1,000,000	      118,308,000	        8,452,514	   0	    0	     292	     195	     4
    Q_RR_X_B_0100_16	    1	      1,000,000	       45,123,000	       22,161,647	   0	    0	     227	      55	     0
    Q_RR_X_B_1000_01	    1	      1,000,000	      307,542,000	        3,251,588	   0	    0	     465	      98	     0
    Q_RR_X_B_1000_02	    1	      1,000,000	      162,028,000	        6,171,773	   0	    1	     623	     125	 2,224
    Q_RR_X_B_1000_04	    1	      1,000,000	      131,727,000	        7,591,458	   0	    0	     333	     175	 5,158
    Q_RR_X_B_1000_08	    1	      1,000,000	       37,684,000	       26,536,461	   0	    1	     239	      40	     0
    Q_RR_X_B_1000_16	    1	      1,000,000	      101,954,000	        9,808,345	   0	    0	     248	     134	     0
             Q_WC_01	    1	      1,000,000	    2,809,900,000	          355,885	   2	    3	   8,688	   1,766	    87
             Q_WC_02	    1	      1,000,000	    4,469,156,000	          223,756	   2	   90	   9,545	   5,260	    47
             Q_WC_04	    1	      1,000,000	   13,150,091,000	           76,045	   3	   96	  20,714	  25,699	     0
             Q_WC_08	    1	      1,000,000	   20,547,869,000	           48,667	   3	    6	  20,873	  46,714	     0
             Q_WC_16	    1	      1,000,000	   24,998,710,000	           40,002	   3	    6	  25,544	  57,856	 2,209
           Q_WC_X_01	    1	      1,000,000	    2,708,359,000	          369,227	   2	    4	   2,959	   1,674	 2,195
           Q_WC_X_02	    1	      1,000,000	    2,116,506,000	          472,477	   2	    4	   3,751	   2,867	 2,257
           Q_WC_X_04	    1	      1,000,000	    2,839,887,000	          352,127	   2	    4	   7,062	   7,883	     0
           Q_WC_X_08	    1	      1,000,000	    2,536,112,000	          394,304	   2	    3	   8,204	   9,009	     0
           Q_WC_X_16	    1	      1,000,000	    2,272,306,000	          440,082	   2	    5	   7,975	   9,322	     0
           R_MEM_01k	    1	      1,000,000	       24,635,000	       40,592,653	   0	    0	      32	       2	     9
           R_MEM_01m	    1	      1,000,000	        9,478,000	      105,507,491	   0	    0	      13	       0	     3
           R_MEM_10m	    1	      1,000,000	       25,640,000	       39,001,560	   0	    0	      26	       1	 2,185
           R_MEM_50m	    1	      1,000,000	       32,162,000	       31,092,594	   0	    0	      32	       0	 2,176
           S_MEM_01k	    1	      1,000,000	       10,406,000	       96,098,405	   0	    0	      16	       0	 2,159
           S_MEM_01m	    1	      1,000,000	        2,916,000	      342,935,528	   0	    0	       6	       0	 2,179
           S_MEM_10m	    1	      1,000,000	        4,384,000	      228,102,190	   0	    0	       4	       0	     0
           S_MEM_50m	    1	      1,000,000	        4,512,000	      221,631,206	   0	    0	       4	       0	     0

         BATCH_WC_01	    2	      1,000,000	      744,597,000	        1,343,008	   1	    2	     756	       2	 2,621
         BATCH_WC_02	    2	      1,000,000	      383,399,000	        2,608,249	   1	    2	     771	       2	     0
         BATCH_WC_04	    2	      1,000,000	      222,571,000	        4,492,948	   1	    2	     874	       3	     0
         BATCH_WC_08	    2	      1,000,000	      198,995,000	        5,025,252	   1	    1	   1,542	       4	     0
         BATCH_WC_16	    2	      1,000,000	      199,870,000	        5,003,252	   1	    2	   1,500	       5	     0
     GEN_SENTENCES_1	    2	      1,000,000	       11,404,000	       87,688,530	   0	    0	      14	       0	     3
              NOOP_1	    2	      1,000,000	          239,000	    4,184,100,418	   0	    0	       0	       0	     0
       PSUDO_Q_RR_01	    2	      1,000,000	       63,786,000	       15,677,421	   0	    0	      64	       0	     0
       PSUDO_Q_RR_02	    2	      1,000,000	       61,617,000	       16,229,287	   0	    0	      67	       1	     0
       PSUDO_Q_RR_04	    2	      1,000,000	       62,014,000	       16,125,391	   0	    0	      75	       1	     0
       PSUDO_Q_RR_08	    2	      1,000,000	       71,045,000	       14,075,586	   0	    0	     117	       1	    14
       PSUDO_Q_RR_16	    2	      1,000,000	       95,463,000	       10,475,263	   0	    0	     130	       2	     0
           Q_PIPE_01	    2	      1,000,000	      302,056,000	        3,310,644	   0	    0	     415	     117	     0
           Q_PIPE_02	    2	      1,000,000	      308,454,000	        3,241,974	   0	    0	     533	     158	     6
           Q_PIPE_04	    2	      1,000,000	      217,904,000	        4,589,177	   0	    0	     483	     244	 7,024
           Q_PIPE_08	    2	      1,000,000	      255,891,000	        3,907,914	   0	    0	   1,022	     461	 2,286
           Q_PIPE_16	    2	      1,000,000	      217,214,000	        4,603,755	   0	    0	   1,558	     152	 2,305
      Q_RR_B_0001_01	    2	      1,000,000	      314,949,000	        3,175,117	   0	    0	     434	     122	     0
      Q_RR_B_0001_02	    2	      1,000,000	      485,704,000	        2,058,867	   0	    0	     410	     599	     0
      Q_RR_B_0001_04	    2	      1,000,000	    1,805,675,000	          553,810	   0	    0	   1,624	   3,874	 2,262
      Q_RR_B_0001_08	    2	      1,000,000	    2,443,926,000	          409,178	   0	    0	   2,354	   5,661	     0
      Q_RR_B_0001_16	    2	      1,000,000	    2,430,563,000	          411,427	   0	    0	   2,339	   5,574	     0
      Q_RR_B_0010_01	    2	      1,000,000	      269,101,000	        3,716,077	   0	    0	     379	     105	     0
      Q_RR_B_0010_02	    2	      1,000,000	      316,034,000	        3,164,217	   0	    0	     318	     376	     0
      Q_RR_B_0010_04	    2	      1,000,000	      265,001,000	        3,773,571	   0	    0	     283	     482	     0
      Q_RR_B_0010_08	    2	      1,000,000	      263,846,000	        3,790,090	   0	    0	     290	     494	     0
      Q_RR_B_0010_16	    2	      1,000,000	      268,567,000	        3,723,466	   0	    0	     292	     498	 2,295
      Q_RR_B_0100_01	    2	      1,000,000	      303,220,000	        3,297,935	   0	    0	     428	     113	     0
      Q_RR_B_0100_02	    2	      1,000,000	      200,324,000	        4,991,913	   0	    0	     257	     116	     0
      Q_RR_B_0100_04	    2	      1,000,000	      173,566,000	        5,761,497	   0	    0	     243	      95	     0
      Q_RR_B_0100_08	    2	      1,000,000	      141,259,000	        7,079,195	   0	    0	     187	      99	     0
      Q_RR_B_0100_16	    2	      1,000,000	      195,361,000	        5,118,729	   0	    0	     251	     115	 2,346
      Q_RR_B_1000_01	    2	      1,000,000	      298,337,000	        3,351,914	   0	    0	     428	     113	 4,565
      Q_RR_B_1000_02	    2	      1,000,000	      274,014,000	        3,649,449	   0	    0	     371	     115	     0
      Q_RR_B_1000_04	    2	      1,000,000	      365,630,000	        2,735,005	   0	    0	     622	      73	     0
      Q_RR_B_1000_08	    2	      1,000,000	      297,022,000	        3,366,754	   0	    0	     442	     101	     0
      Q_RR_B_1000_16	    2	      1,000,000	      282,040,000	        3,545,596	   0	    0	     401	     109	     0
    Q_RR_X_B_0001_01	    2	      1,000,000	      283,437,000	        3,528,121	   0	    0	     387	     115	     0
    Q_RR_X_B_0001_02	    2	      1,000,000	      228,288,000	        4,380,432	   0	    0	     285	     344	     0
    Q_RR_X_B_0001_04	    2	      1,000,000	      232,731,000	        4,296,806	   0	    0	     457	     765	     0
    Q_RR_X_B_0001_08	    2	      1,000,000	      310,697,000	        3,218,570	   0	    0	     840	   1,418	     0
    Q_RR_X_B_0001_16	    2	      1,000,000	      187,021,000	        5,346,993	   0	    0	     629	     809	     0
    Q_RR_X_B_0010_01	    2	      1,000,000	      269,119,000	        3,715,828	   0	    0	     362	     112	     0
    Q_RR_X_B_0010_02	    2	      1,000,000	      158,476,000	        6,310,104	   0	    0	     227	     232	     0
    Q_RR_X_B_0010_04	    2	      1,000,000	      275,134,000	        3,634,593	   0	    0	     501	     559	     0
    Q_RR_X_B_0010_08	    2	      1,000,000	      178,940,000	        5,588,465	   0	    0	     438	     452	     0
    Q_RR_X_B_0010_16	    2	      1,000,000	       73,215,000	       13,658,403	   0	    0	     251	     196	 2,245
    Q_RR_X_B_0100_01	    2	      1,000,000	      244,466,000	        4,090,548	   0	    0	     304	     119	     0
    Q_RR_X_B_0100_02	    2	      1,000,000	      126,391,000	        7,911,956	   0	    0	     206	     143	     0
    Q_RR_X_B_0100_04	    2	      1,000,000	      217,841,000	        4,590,504	   0	    0	     402	     313	     0
    Q_RR_X_B_0100_08	    2	      1,000,000	      104,778,000	        9,543,988	   0	    0	     283	     181	     0
    Q_RR_X_B_0100_16	    2	      1,000,000	       61,908,000	       16,153,001	   0	    0	     208	     132	     1
    Q_RR_X_B_1000_01	    2	      1,000,000	      234,534,000	        4,263,774	   0	    0	     290	     117	     2
    Q_RR_X_B_1000_02	    2	      1,000,000	      190,260,000	        5,255,966	   0	    0	     354	     181	 2,259
    Q_RR_X_B_1000_04	    2	      1,000,000	      137,797,000	        7,257,052	   0	    0	     319	     181	 2,289
    Q_RR_X_B_1000_08	    2	      1,000,000	      172,852,000	        5,785,296	   0	    0	     412	     222	     0
    Q_RR_X_B_1000_16	    2	      1,000,000	       31,408,000	       31,839,022	   0	    0	     164	      47	     1
             Q_WC_01	    2	      1,000,000	    2,769,607,000	          361,062	   2	    4	   3,054	   1,704	     0
             Q_WC_02	    2	      1,000,000	    5,242,017,000	          190,766	   2	    4	   5,129	   6,340	     0
             Q_WC_04	    2	      1,000,000	   12,267,678,000	           81,515	   2	    4	  12,248	  24,193	 2,337
             Q_WC_08	    2	      1,000,000	   20,477,954,000	           48,833	   3	    5	  20,954	  46,456	     0
             Q_WC_16	    2	      1,000,000	   25,076,010,000	           39,879	   3	    6	  25,682	  57,796	 2,414
           Q_WC_X_01	    2	      1,000,000	    2,707,421,000	          369,355	   2	    4	   2,975	   1,662	     0
           Q_WC_X_02	    2	      1,000,000	    2,137,937,000	          467,741	   2	    4	   3,760	   2,889	     0
           Q_WC_X_04	    2	      1,000,000	    2,867,599,000	          348,724	   2	    4	   7,223	   7,834	 2,335
           Q_WC_X_08	    2	      1,000,000	    2,571,195,000	          388,924	   2	    4	   8,112	   8,567	     0
           Q_WC_X_16	    2	      1,000,000	    2,748,957,000	          363,774	   2	    4	   9,006	  11,611	     0
           R_MEM_01k	    2	      1,000,000	        4,732,000	      211,327,134	   0	    0	       5	       1	     0
           R_MEM_01m	    2	      1,000,000	        7,266,000	      137,627,305	   0	    0	       8	       0	     0
           R_MEM_10m	    2	      1,000,000	       25,664,000	       38,965,087	   0	    0	      26	       0	     0
           R_MEM_50m	    2	      1,000,000	       32,745,000	       30,539,014	   0	    0	      33	       0	     0
           S_MEM_01k	    2	      1,000,000	        4,451,000	      224,668,614	   0	    0	       5	       0	     0
           S_MEM_01m	    2	      1,000,000	        2,938,000	      340,367,597	   0	    0	       3	       0	     0
           S_MEM_10m	    2	      1,000,000	        2,888,000	      346,260,388	   0	    0	       3	       0	     0
           S_MEM_50m	    2	      1,000,000	        4,424,000	      226,039,783	   0	    0	       4	       0	     0

         BATCH_WC_01	    3	      1,000,000	      763,218,000	        1,310,242	   1	    2	     773	       2	     0
         BATCH_WC_02	    3	      1,000,000	      391,715,000	        2,552,876	   1	    2	     788	       2	 2,379
         BATCH_WC_04	    3	      1,000,000	      224,143,000	        4,461,438	   1	    2	     880	       3	     0
         BATCH_WC_08	    3	      1,000,000	      200,864,000	        4,978,493	   1	    2	   1,542	       4	     0
         BATCH_WC_16	    3	      1,000,000	      202,851,000	        4,929,727	   1	    2	   1,491	       4	     0
     GEN_SENTENCES_1	    3	      1,000,000	       11,077,000	       90,277,151	   0	    0	      11	       0	     0
              NOOP_1	    3	      1,000,000	            1,000	1,000,000,000,000	   0	    0	       0	       0	     0
       PSUDO_Q_RR_01	    3	      1,000,000	       62,478,000	       16,005,634	   0	    0	      62	       0	     0
       PSUDO_Q_RR_02	    3	      1,000,000	       63,090,000	       15,850,372	   0	    0	      67	       0	     0
