COMMAND LINE: [-XX:+UseConcMarkSweepGC, -Xmx8G]
Conf: {}

           Test Name	  Num	     Iterations	          Time ns	       Throughput	  GC	GC ms	  USR ms	  SYS ms	JIT ms	    min latency	   latency 50th	   latency 90th	   latency 99th	    max latency
             Q_WC_01	    1	      1,000,000	    2,764,105,000	          361,781	  13	    8	   3,358	   1,761	   393	              0	          3,000	         12,000	         78,000	      1,297,000
             Q_WC_02	    1	      1,000,000	    5,394,252,000	          185,383	  13	    7	   5,508	   6,562	   307	          1,000	          7,000	         15,000	        528,000	      1,060,000
             Q_WC_04	    1	      1,000,000	   12,577,383,000	           79,508	  14	    8	  12,747	  24,780	   116	          1,000	         16,000	         28,000	         40,000	        770,000
             Q_WC_08	    1	      1,000,000	   20,876,516,000	           47,901	  15	   10	  21,539	  46,933	    36	          1,000	         25,000	         36,000	         52,000	        458,000
             Q_WC_16	    1	      1,000,000	   25,815,600,000	           38,736	  17	   23	  26,944	  58,728	     0	          5,000	         29,000	         40,000	         52,000	        808,000
           Q_WC_X_01	    1	      1,000,000	    2,587,158,000	          386,525	  13	    7	   2,984	   1,507	    45	              0	          3,000	         11,000	         15,000	        681,000
           Q_WC_X_02	    1	      1,000,000	    2,237,174,000	          446,993	  13	    8	   4,106	   2,965	    55	              0	          7,000	         19,000	         37,000	        742,000
           Q_WC_X_04	    1	      1,000,000	    3,323,727,000	          300,867	  13	    8	   8,395	   8,642	     0	          1,000	         14,000	         39,000	        147,000	        909,000
           Q_WC_X_08	    1	      1,000,000	    3,153,245,000	          317,134	  13	   10	  10,105	  10,433	     9	          2,000	         26,000	        105,000	      1,061,000	      2,168,000
           Q_WC_X_16	    1	      1,000,000	    3,404,486,000	          293,730	  14	   12	  11,113	  14,851	     2	              0	         48,000	        391,000	      2,618,000	     17,904,000

             Q_WC_01	    2	      1,000,000	    2,683,813,000	          372,604	  13	    8	   2,994	   1,627	     1	          1,000	          3,000	         12,000	         15,000	        735,000
             Q_WC_02	    2	      1,000,000	    5,760,752,000	          173,588	  13	    7	   5,578	   7,062	     0	              0	          7,000	         15,000	         22,000	        719,000
             Q_WC_04	    2	      1,000,000	   13,459,554,000	           74,297	  14	    8	  13,438	  26,636	     0	          1,000	         17,000	         30,000	         41,000	        738,000
             Q_WC_08	    2	      1,000,000	   22,706,375,000	           44,040	  15	   10	  23,241	  51,016	    38	              0	         27,000	         39,000	         52,000	        253,000
             Q_WC_16	    2	      1,000,000	   27,279,294,000	           36,658	  16	   11	  27,954	  62,179	     0	          3,000	         31,000	         43,000	         57,000	        827,000
           Q_WC_X_01	    2	      1,000,000	    2,767,177,000	          361,379	  13	    8	   3,076	   1,681	     0	          1,000	          3,000	         12,000	         15,000	        841,000
           Q_WC_X_02	    2	      1,000,000	    2,361,724,000	          423,420	  13	    7	   4,157	   3,204	    41	          1,000	          7,000	         19,000	         34,000	        889,000
           Q_WC_X_04	    2	      1,000,000	    3,363,742,000	          297,288	  13	    8	   8,562	   9,221	    44	          1,000	         15,000	         40,000	        146,000	        917,000
           Q_WC_X_08	    2	      1,000,000	    3,207,769,000	          311,743	  14	   11	  10,467	  11,196	    81	              0	         26,000	        172,000	        825,000	      1,339,000
           Q_WC_X_16	    2	      1,000,000	    3,315,404,000	          301,622	  14	   13	  10,996	  14,403	     1	          2,000	         44,000	        287,000	        966,000	      4,957,000

             Q_WC_01	    3	      1,000,000	    2,688,653,000	          371,933	  13	    7	   3,058	   1,593	     0	          1,000	          3,000	         12,000	         17,000	        626,000
             Q_WC_02	    3	      1,000,000	    5,819,733,000	          171,829	  13	    7	   5,642	   7,163	    35	          1,000	          7,000	         15,000	         23,000	        767,000
             Q_WC_04	    3	      1,000,000	   13,875,771,000	           72,068	  14	    9	  13,965	  27,302	     0	          1,000	         18,000	         30,000	         43,000	        830,000
